Protein_Domain(Queried),Protein_Domain_name,count,SystematicName,Disease,Genetic_Interaction,GO_CC,GO_MF,GO_BP,Pathway,Mutant_Phenotype,Physical_Interaction,Transcriptional_Regulation,Protein_Domain
PF15511,60S ribosome biogenesis protein Rrp14,2,"['YBR009C', 'YNL030W']",,,"['nucleosome', 'replication fork protection complex']",,"['chromatin assembly or disassembly', 'histone H3-K79 methylation', 'nucleosome assembly', 'sexual sporulation resulting in formation of a cellular spore', 'transfer RNA gene-mediated silencing']",,,"['TFC3', 'MYO4', 'RFA1', 'LDB7', 'HIR1', 'PIM1', 'MCM2', 'RRN10', 'SKT5', 'ECM21', 'RTG3', 'AKL1', 'RFC5', 'NHP6B', 'RXT2', 'MRPL36', 'CKS1', 'ATG42', 'RPB5', 'MED8', 'MSI1', 'AME1', 'HPC2', 'PDB1', 'TDP1', 'ISW1', 'TAE1', 'RIF1', 'APM3', 'SNF5', 'PCA1', 'KRR1', 'RVS161', 'HTL1', 'RIM1', 'RSC6', 'CDC39', 'ARP2', 'SIR2', 'BDF2', 'SUB2', 'CDC53', 'SCM3', 'RPC53', 'LYS20', 'SOK1', 'NSI1', 'REG1', 'RPC11', 'MAK21', 'PAA1', 'SNF11', 'MSH6', 'FOB1', 'KIN1', 'ARO1', 'SWI5', 'SEC1', 'HMO1', 'REF2', 'UME6', 'GCD6', 'UPC2', 'HTA1', 'SIR4', 'ZIP1', 'SSD1', 'RSC3', 'SUM1', 'MRPL35', 'SVF1', 'PAL1', 'SPC110', 'BCP1', 'TFC6', 'NCB2', 'SNX41', 'TIF35', 'NPL3', 'DOT1', 'TOM1', 'RAD23', 'HAT2', 'CIN8', 'SEC3', 'GCD11', 'KAP123', 'BOI2', 'BEM2', 'BUR6', 'RAD4', 'CHD1', 'BRR2', 'IES1', 'EPL1', 'SWP82', 'GCN20', 'IOC3', 'FAB1', 'RSC8', 'PDR1', 'CKB1', 'ALK1', 'YGL039W', 'SRM1', 'ITC1', 'INO80', 'XRN1', 'CDC55', 'MDS3', 'CHC1', 'SPT16', 'RTG2', 'RSC1', 'UTP22', 'SRB5', 'YGR130C', 'ENP2', 'TIF4631', 'OKP1', 'SDA1', 'BRF1', 'APL6', 'YTA7', 'TAF1', 'RTT102', 'SNF6', 'SRB2', 'SSF1', 'GAR1', 'GGA2', 'RPC10', 'YAP1801', 'PRP8', 'SET5', 'PDR11', 'MAM33', 'STH1', 'TAO3', 'CCT2', 'BNR1', 'MPH1', 'PAN1', 'CYR1', 'RPC17', 'CCT3', 'RTT101', 'SMC3', 'NET1', 'ASF1', 'SET2', 'RFA3', 'SWI3', 'NUC1', 'SUI2', 'CCT5', 'TOR1', 'RFC2', 'SGM1', 'MAE1', 'RGT1', 'TOA2', 'YNK1', 'ABF1', 'APN1', 'RPC25', 'SNU114', 'STE6', 'MRPL13', 'RSC4', 'TOF2', 'RPC37', 'SRP40', 'DNM1', 'RTT109', 'ORC3', 'HIF1', 'VPS13', 'RSC58', 'RGR1', 'RRN5', 'ATG26', 'IRC20', 'YLR278C', 'SFH1', 'RSC2', 'IKI3', 'BDF1', 'VIP1', 'CDC73', 'SIR3', 'FPR4', 'PDP3', 'YAP1', 'PSP2', 'RAD52', 'PRP39', 'RSE1', 'IMD4', 'POB3', 'CAC2', 'RSC9', 'STB4', 'EIS1', 'ARP9', 'IOC4', 'MOT3', 'ABF2', 'NPL6', 'YPK2', 'YKU80', 'SAS2', 'SIP5', 'TIF34', 'TRI1', 'FAA4', 'RRN9', 'ZDS1', 'YKU70', 'FKS3', 'PSE1', 'NIP1', 'MRP7', 'CRZ1', 'BDP1', 'TOP2', 'NMA111', 'KRE33', 'RPC31', 'IGO1', 'SKO1', 'RTT106', 'VID27', 'RAP1', 'ATG2', 'VPS75', 'RPA49', 'MRPL17', 'ORC5', 'MRPL10', 'RFC3', 'CLA4', 'KRI1', 'RFA2', 'RPD3', 'RPC34', 'CSE2', 'ACC1', 'SIN3', 'TOP1', 'RCL1', 'HTZ1', 'PSH1', 'RFC4', 'PAP2', 'HRP1', 'MED7', 'CDC33', 'HST3', 'CKB2', 'ETT1', 'ASE1', 'CKA2', 'YNG1', 'RPO31', 'LEO1', 'HIS3', 'RET1', 'RPB10', 'RFC1', 'RPB8', 'CDC31', 'CAF20', 'SNF2', 'ISW2', 'MIP1', 'RPA43', 'RPA190', 'PRE10', 'HAT1', 'TFC8', 'RQC2', 'SWI1', 'DIG1', 'MNN9', 'MOT1', 'GDE1', 'HOS3', 'SPC29', 'HHO1', 'TAF14', 'UME1', 'YPL150W', 'RAD53', 'APL5', 'BMS1', 'RPA135', 'RLF2', 'MCM4', 'NTO1', 'ARP7', 'NHP6A', 'MED1', 'FHL1', 'RPC40', 'RGC1', 'ORC4', 'JIP5', 'RPO26', 'RPC82', 'AI1', 'ICS2', 'EXO5', 'MRPL7', 'PPN1', 'IRC5', 'RSC30', 'ASG1', 'MTC1', 'IOC2', 'YMR114C', 'MRX6', 'SNF12', 'HMI1', 'AZF1', 'TUM1', 'UAF30']","['NHP6B', 'NHP6A']",
PF15612,"Something about silencing, SAS, complex subunit 4",1,['YFR013W'],,,,,,,,,,
PF15613,Extracellular mutant protein 11,2,"['YGL133W', 'YPL216W']",,,,,['negative regulation of transcription from RNA polymerase II promoter by pheromones'],,,,,"['DDT domain', 'ATP-utilising chromatin assembly and remodelling N-terminal']"
PF15624,Exocyst complex component Sec5,1,['YKL089W'],,,,,,,,,,
PF15630,Centromere kinetochore component CENP-T histone fold,1,['YOL086W-A'],,,,,,,,,,
PF15700,"WSTF, HB1, Itc1p, MBD9 motif 1",2,"['YMR206W', 'YNR014W']",,,,,,,,,,
PF15701,"Williams-Beuren syndrome DDT (WSD), D-TOX E motif",5,"['YIL029C', 'YIL089W', 'YLR036C', 'YPL257W', 'YPR071W']",,,,,,,,,,
PF15786,"Kinetochore CENP-C fungal homologue, Mif2, N-terminal",1,['YER058W'],,,,,,,,,,
PF15801,CENP-S protein,1,['YLR244C'],,,,,,,,,,
PF15901,Domain of unknown function (DUF4667),5,"['YBL017C', 'YCR099C', 'YIL173W', 'YJL222W', 'YNR065C']",,,['Golgi apparatus'],['signal sequence binding'],"['Golgi to endosome transport', 'Golgi to vacuole transport', 'post-Golgi vesicle-mediated transport', 'protein targeting to vacuole']",,,,,"['Sortilin, neurotensin receptor 3,']"
PF15902,Domain of unknown function (DUF4668),7,"['YBL017C', 'YCR100C', 'YCR101C', 'YIL173W', 'YJL222W', 'YNR065C', 'YNR066C']",,,"['Golgi apparatus', 'cytosol', 'fungal-type vacuole']",['signal sequence binding'],"['Golgi to endosome transport', 'Golgi to vacuole transport', 'post-Golgi vesicle-mediated transport', 'protein targeting to vacuole']",,,,,"['Sortilin, neurotensin receptor 3, C-terminal']"
PF15916,"PET assembly of cytochrome c oxidase, mitochondrial",1,['YJR142W'],,,,,,,,,,
PF15924,"zf-MYND-like zinc finger, mRNA-binding",1,['YNL048W'],,,,,,,,,,
PF15963,"Sortilin, neurotensin receptor 3, C-terminal",1,['YNL039W'],,,,,,,,,,
PF15985,"Sortilin, neurotensin receptor 3,",2,"['YHR069C', 'YOL142W']",,,"['cytoplasmic exosome (RNase complex)', 'exosome (RNase complex)', 'nuclear exosome (RNase complex)']",,"['CUT catabolic process', ""U4 snRNA 3'-end processing"", 'exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay', ""exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"", 'nonfunctional rRNA decay', 'nuclear polyadenylation-dependent mRNA catabolic process', 'nuclear polyadenylation-dependent rRNA catabolic process', 'nuclear polyadenylation-dependent tRNA catabolic process', ""nuclear retention of pre-mRNA with aberrant 3'-ends at the site of transcription"", ""nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay"", ""nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'"", 'nuclear-transcribed mRNA catabolic process, non-stop decay', ""polyadenylation-dependent snoRNA 3'-end processing""]",,,,,
PF16004,Domain of unknown function (DUF4743),1,['YKL173W'],,,,,,,,,,
PF16016,ALG11 mannosyltransferase N-terminus,6,"['YDR326C', 'YFL042C', 'YHR080C', 'YHR155W', 'YLR072W', 'YNL257C']",,,"['ER-mitochondrion membrane contact site', 'cortical endoplasmic reticulum', 'endoplasmic reticulum', 'endoplasmic reticulum membrane', 'integral component of membrane', 'nucleus-vacuole junction']",['sterol transfer activity'],"['intermembrane lipid transfer', 'intracellular sterol transport']",,,,,['GRAM domain']
PF16035,Myb DNA-binding like,2,"['YHR198C', 'YHR199C']",,,,['intramolecular lyase activity'],,,,,,
PF16073,KH domain,1,['YKL182W'],,,,,,,,,,
PF16076,116 kDa U5 small nuclear ribonucleoprotein component N-terminus,2,"['YBR042C', 'YDR018C']",,,,,['phosphatidylinositol acyl-chain remodeling'],,,,,['Acyltransferase']
PF16078,VAD1 Analog of StAR-related lipid transfer domain,1,['YIL125W'],,,,,,,,,,
PF16113,Chalcone isomerase like,1,['YDR036C'],,,,,,,,,,
PF16121,Starter unit:ACP transacylase in aflatoxin biosynthesis,2,"['YHR203C', 'YJR145C']",,,,,,,,,,"['KOW motif', 'Ribosomal family S4e', 'S4 domain', 'RS4NT (NUC023) domain']"
PF16123,Acyltransferase C-terminus,1,['YDR272W'],,,,,,,,,,
PF16124,2-oxoglutarate dehydrogenase N-terminus,1,['YMR190C'],,,,,,,,,,
PF16131,Enoyl-CoA hydratase/isomerase,1,['YDL209C'],,,,,,,,,,
PF16134,40S ribosomal protein S4 C-terminus,1,['YNL139C'],,,,,,,,,,
PF16177,Hydroxyacylglutathione hydrolase C-terminus,2,"['YAL054C', 'YLR153C']",,,,"['AMP binding', 'acetate-CoA ligase activity', 'acid-ammonia (or amide) ligase activity']","['acetyl-CoA biosynthetic process', 'acetyl-CoA biosynthetic process from acetate']","['acetate utilization', 'ethanol degradation']",,,,"['AMP-binding enzyme', 'AMP-binding enzyme C-terminal domain']"
PF16186,RecQ zinc-binding,1,['YNL189W'],,,,,,,,,,
PF16187,Torus domain,1,['YLR389C'],,,,,,,,,,
PF16188,THO complex subunit 2 N-terminus,1,['YLL029W'],,,,,,,,,,
PF16189,Acetyl-coenzyme A synthetase N-terminus,1,['YLL029W'],,,,,,,,,,
PF16190,Atypical Arm repeat,1,['YKL210W'],,,,,,,,,,
PF16191,Middle or third domain of peptidase_M16,1,['YKL210W'],,,,,,,,,,
PF16192,C-terminal region of peptidase_M24,6,"['YAL023C', 'YDL093W', 'YDL095W', 'YGR199W', 'YJR143C', 'YOR321W']",,"['PMT2', 'PMT4', 'SEC59', 'PMT3']","['dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex', 'dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt3p dimer complex', 'dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt2p dimer complex', 'dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt3p dimer complex', 'endoplasmic reticulum', 'endoplasmic reticulum membrane', 'integral component of membrane']","['dolichyl-phosphate-mannose-protein mannosyltransferase activity', 'mannosyltransferase activity', 'transferase activity', 'transferase activity, transferring glycosyl groups']","['ER-associated misfolded protein catabolic process', 'protein O-linked glycosylation', 'protein O-linked mannosylation', 'protein exit from endoplasmic reticulum', 'protein glycosylation', 'regulation of endoplasmic reticulum unfolded protein response']",,,,,"['Dolichyl-phosphate-mannose-protein mannosyltransferase', 'MIR domain']"
PF16193,Creatinase/Prolidase N-terminal domain,1,['YNL218W'],,,,,,,,,,
PF16198,Ubiquitin-activating enzyme E1 FCCH domain,1,['YLR175W'],,,,,,,,,,
PF16199,Ubiquitin-activating enzyme E1 four-helix bundle,1,['YPL086C'],,,,,,,,,,
PF16201,C-terminal four TMM region of protein-O-mannosyltransferase,1,['YKL014C'],,,,,,,,,,
PF16203,AAA C-terminal domain,1,['YIL143C'],,,,,,,,,,
PF16205,tRNA pseudouridylate synthase B C-terminal domain,2,"['YBR048W', 'YDR025W']",,,,,,,,,,['Ribosomal protein S17']
PF16206,Radical_SAM C-terminal domain,1,['YNL297C'],,,,,,,,,,
PF16209,Nucleolar pre-ribosomal-associated protein 1,5,"['YAL026C', 'YDR093W', 'YER166W', 'YIL048W', 'YMR162C']",,"['CHO1', 'DNF1', 'DNF3']","['Golgi apparatus', 'mating projection tip membrane', 'plasma membrane', 'trans-Golgi network']","['ATP binding', 'ATPase-coupled intramembrane lipid transporter activity', 'magnesium ion binding', 'nucleotide binding', 'phosphatidylcholine flippase activity', 'phosphatidylethanolamine-translocating ATPase activity', 'phosphatidylserine flippase activity']","['aminophospholipid translocation', 'endocytosis', 'phospholipid translocation', 'phospholipid transport', 'response to pheromone involved in conjugation with cellular fusion']",,,"['ATG8', 'CDC50', 'ATG9', 'DNF1', 'RCY1', 'ATG23', 'LEM3']",,"['Cation transport ATPase (P-type)', 'Phospholipid-translocating P-type ATPase C-terminal']"
PF16211,ERCC3/RAD25/XPB C-terminal helicase,3,"['YBL003C', 'YDR225W', 'YOL012C']",,['SPT16'],"['chromosome', 'nucleosome']",['protein heterodimerization activity'],['chromatin silencing'],,"['budding index: abnormal', 'cell cycle progression in G2 phase: abnormal']","['SWC3', 'FUN30', 'RFA1', 'HTB2', 'HTA2', 'RRN10', 'PSY4', 'SAS3', 'RIF1', 'BDF2', 'SCM3', 'GLT1', 'RPC11', 'PPH3', 'FOB1', 'RVB1', 'REF2', 'RAD9', 'HTB1', 'HTA1', 'SWR1', 'PPZ2', 'IES5', 'KAP123', 'SPT15', 'IES1', 'EPL1', 'SRM1', 'SPT16', 'KAP114', 'GCN5', 'YTA7', 'RTT102', 'TRA1', 'CTK2', 'RPC17', 'ARP4', 'RFA3', 'NTA1', 'CTK1', 'RPC25', 'RPC37', 'NAP1', 'RPF2', 'HIF1', 'YLR278C', 'SWC7', 'ORC1', 'UTP14', 'CTK3', 'ABF2', 'TRI1', 'YKU70', 'RLP7', 'PSY2', 'RAP1', 'VPS75', 'RFA2', 'RPC34', 'HTZ1', 'PSH1', 'ASE1', 'ESA1', 'MIP1', 'RQC2', 'SEC16', 'HHO1', 'GIP3', 'RVB2', 'NHP6A', 'RPC82', 'EXO5', 'GSC2', 'IOC2']",['NHP6B'],['Core histone H2A/H2B/H3/H4']
PF16212,Ribosomal_S17 N-terminal,5,"['YAL026C', 'YDR093W', 'YER166W', 'YIL048W', 'YMR162C']",,"['CHO1', 'DNF1', 'DNF3']","['Golgi apparatus', 'mating projection tip membrane', 'plasma membrane', 'trans-Golgi network']","['ATP binding', 'ATPase-coupled intramembrane lipid transporter activity', 'magnesium ion binding', 'nucleotide binding', 'phosphatidylcholine flippase activity', 'phosphatidylethanolamine-translocating ATPase activity', 'phosphatidylserine flippase activity']","['aminophospholipid translocation', 'endocytosis', 'phospholipid translocation', 'phospholipid transport', 'response to pheromone involved in conjugation with cellular fusion']",,,"['ATG8', 'CDC50', 'ATG9', 'DNF1', 'RCY1', 'ATG23', 'LEM3']",,"['Cation transport ATPase (P-type)', 'Phospholipid-translocating ATPase N-terminal']"
PF16213,C-terminal region of Mon2 protein,2,"['YDR170C', 'YNL297C']",,,,,,,,,,['Guanine nucleotide exchange factor in Golgi transport N-terminal']
PF16275,Phospholipid-translocating ATPase N-terminal,1,['YLR116W'],,,,,,,,,,
PF16278,C-terminus of histone H2A,1,['YOR258W'],,,,,,,,,,
PF16282,Phospholipid-translocating P-type ATPase C-terminal,1,['YGR002C'],,,,,,,,,,
PF16300,Dimerisation and cyclophilin-binding domain of Mon2,1,['YLR429W'],,,,,,,,,,
PF16320,Splicing factor 1 helix-hairpin domain,1,['YGL068W'],,,,,,,,,,
PF16363,C2HE / C2H2 / C2HC zinc-binding finger,1,['YBR019C'],,,,,,,,,,
PF16381,SANT/Myb-like domain of DAMP1,1,['YNL287W'],,,,,,,,,,
PF16413,Type of WD40 repeat,1,['YMR167W'],,,,,,,,,,
PF16414,Ribosomal protein L7/L12 dimerisation domain,1,['YPL006W'],,,,,,,,,,
PF16415,"GDP-mannose 4,6 dehydratase",1,['YCR093W'],,,,,,,,,,
PF16417,Coatomer subunit gamma-1 C-terminal appendage platform,1,['YCR093W'],,,,,,,,,,
PF16418,DNA mismatch repair protein Mlh1 C-terminus,1,['YCR093W'],,,,,,,,,,
PF16419,Niemann-Pick C1 N terminus,1,['YCR093W'],,,,,,,,,,
PF16420,CCR4-NOT transcription complex subunit 1 CAF1-binding domain,1,['YHR171W'],,,,,,,,,,
PF16450,CCR4-NOT transcription complex subunit 1 TTP binding domain,5,"['YDL007W', 'YDR394W', 'YGL048C', 'YOR117W', 'YOR259C']",,"['PRE7', 'SEC66', 'PRE1', 'PRE4', 'SCL1', 'RPT6', 'PRE9', 'NAS6', 'PUP2', 'RPN10', 'RPN2', 'VPS24', 'CCW12', 'PRE8', 'PRE5', 'PRE6', 'RPT5', 'PUP1', 'RPN8', 'PRE10', 'ISU1', 'PRE2', 'RPN7', 'HUL5']","['proteasome complex', 'proteasome regulatory particle, base subcomplex']","['ATP binding', 'ATPase activity', 'nucleotide binding', 'proteasome-activating ATPase activity', 'protein domain specific binding']","['positive regulation of RNA polymerase II transcriptional preinitiation complex assembly', 'positive regulation of proteasomal protein catabolic process', 'proteasome regulatory particle assembly', 'proteasome-mediated ubiquitin-dependent protein catabolic process', 'protein catabolic process']",,['replicative lifespan: decreased'],"['URA7', 'CDC28', 'HSM3', 'SGF29', 'RPT2', 'RPN4', 'ARP2', 'NAT1', 'RPN6', 'RPN5', 'SEM1', 'RPT3', 'RPN9', 'RAD23', 'PRE1', 'RPN3', 'TSC11', 'RPN11', 'UBP6', 'RPN12', 'RPN14', 'RPT6', 'NAS6', 'ECM29', 'RPN1', 'RPN10', 'NAS2', 'RPN2', 'MLP2', 'SPT10', 'CSE4', 'RPT1', 'SPT8', 'RPN13', 'TUB3', 'CDC5', 'ESC1', 'END3', 'SKP2', 'RPT5', 'RPT4', 'RPN8', 'GAL4', 'RPN7']",['RPN4'],"['ATPase family associated with various cellular activities (AAA)', 'AAA+ lid domain']"
PF16457,CCR4-NOT transcription complex subunit 1 HEAT repeat,1,['YLL007C'],,,,,,,,,,
PF16491,CCR4-NOT transcription complex subunit 1 HEAT repeat,1,['YJR117W'],,,,,,,,,,
PF16495,Ubiquitin-like modifier-activating enzyme ATG7 N-terminus,2,"['YFR037C', 'YJL176C']",,,['SWI/SNF complex'],,,,,,,"['Myb-like DNA-binding domain', 'SWIRM domain']"
PF16503,Proteasomal ATPase OB C-terminal domain,1,['YGL211W'],,,,,,,,,,
PF16507,Pleckstrin homology domain,1,['YFL007W'],,,,,,,,,,
PF16528,"CAAX prenyl protease N-terminal, five membrane helices",1,['YBR102C'],,,,,,,,,,
PF16543,SWIRM-associated region 1,1,['YOR091W'],,,,,,,,,,
PF16547,Zinc-ribbon,1,['YFL007W'],,,,,,,,,,
PF16561,"Proteasome-substrate-size regulator, mid region",6,"['YDR422C', 'YER027C', 'YGL208W', 'YHR146W', 'YIL024C', 'YNL173C']",,,['nucleotide-activated protein kinase complex'],"['AMP-activated protein kinase activity', 'protein kinase binding']","['positive regulation of pseudohyphal growth', 'regulation of primary metabolic process', 'regulation of protein complex assembly', 'regulation of protein kinase activity', 'signal transduction']",,,,,"[""5'-AMP-activated protein kinase beta subunit, interaction domain""]"
PF16573,Exocyst component 84 C-terminal,1,['YOR250C'],,,,,,,,,,
PF16575,"DRG Family Regulatory Proteins, Tma46",2,"['YLL035W', 'YOR250C']",,,,"[""polynucleotide 5'-hydroxyl-kinase activity""]",,,,,,
PF16579,"Proteasome-substrate-size regulator, N-terminal",1,['YDR477W'],,,,,,,,,,
PF16588,Glycogen recognition site of AMP-activated protein kinase,1,['YER137C'],,,,,,,,,,
PF16589,N-terminal beta-sandwich domain of polyadenylation factor,4,"['YGR103W', 'YJL090C', 'YNL216W', 'YOR346W']",,,,,,,,,,
PF16653,mRNA cleavage and polyadenylation factor CLP1 P-loop,1,['YNR050C'],,,,,,,,,,
PF16661,Adenylate sensor of SNF1-like protein kinase,1,['YLR115W'],,,,,,,,,,
PF16679,C2H2 zinc-finger,1,['YJR046W'],,,,,,,,,,
PF16717,"BRCT domain, a BRCA1 C-terminus domain",1,['YGR285C'],,,,,,,,,,
PF16746,Saccharopine dehydrogenase C-terminal domain,1,['YNL257C'],,,,,,,,,,
PF16755,Metallo-beta-lactamase superfamily domain,1,['YIL115C'],,,,,,,,,,
PF16770,DNA replication factor Cdt1 C-terminal domain,1,['YHR154W'],,,,,,,,,,
PF16771,Ribosome-associated complex head domain,1,['YHR154W'],,,,,,,,,,
PF16782,BAR domain of APPL family,1,['YOL031C'],,,,,,,,,,
PF16787,Nucleoporin or Nuclear pore complex subunit NUP214=Nup159,1,['YGR140W'],,,,,,,,,,
PF16796,Regulator of Ty1 transposition protein 107 BRCT domain,2,"['YMR198W', 'YPL253C']",,,['kinesin complex'],,,,,,,
PF16797,Regulator of Ty1 transposition protein 107 BRCT domain,2,"['YCL024W', 'YDR507C']",,,,,"['budding cell bud growth', 'morphogenesis checkpoint', 'septin ring assembly']",,,,,
PF16803,Nucleotide exchange factor SIL1,1,['YKR071C'],,,,,,,,,,
PF16815,"Centromere DNA-binding protein complex CBF3 subunit, domain 2",1,['YLR301W'],,,,,,,,,,
PF16818,Microtubule binding,1,['YBR077C'],,,,,,,,,,
PF16834,Fungal kinase associated-1 domain,1,['YIL132C'],,,,,,,,,,
PF16835,Fe-S cluster assembly protein DRE2 N-terminus,1,['YDL043C'],,,,,,,,,,
PF16836,Protein HRI1,1,['YLR376C'],,,,,,,,,,
PF16837,Protein SLM4,1,['YDL030W'],,,,,,,,,,
PF16842,"Shu complex component Csm2, DNA-binding",1,['YMR268C'],,,,,,,,,,
PF16843,Pre-mRNA-splicing factor SF3a complex subunit 2 (Prp11),1,['YOL111C'],,,,,,,,,,
PF16846,"Shu complex component Psy3, DNA-binding description",1,['YMR168C'],,,,,,,,,,
PF16853,"Pre-mRNA-splicing factor SF3A3, of SF3a complex, Prp9",1,['YDL220C'],,,,,,,,,,
PF16854,Occluded RNA-recognition motif,1,['YJL029C'],,,,,,,,,,
PF16856,"Binding domain to Get4 on Get5, Golgi to ER traffic protein",1,['YFL009W'],,,,,,,,,,
PF16860,Centromere DNA-binding protein complex CBF3 subunit B,1,['YDR031W'],,,,,,,,,,
PF16870,Cell division control protein 13 N-terminus,1,['YIL125W'],,,,,,,,,,
PF16879,Vacuolar protein sorting-associated protein 53 C-terminus,1,['YOL004W'],,,,,,,,,,
PF16881,Cell division control protein 4 dimerisation domain,1,['YOR196C'],,,,,,,,,,
PF16884,"CHCH-CHCH-like Cx9C, IMS import disulfide relay-system,",1,['YML131W'],,,,,,,,,,
PF16886,2-oxoglutarate dehydrogenase C-terminal,1,['YDL185W'],,,,,,,,,,
PF16891,C-terminal domain of Sin3a protein,4,"['YDR436W', 'YER133W', 'YML016C', 'YPL179W']",,,,"['phosphoprotein phosphatase activity', 'protein serine phosphatase activity', 'protein serine/threonine phosphatase activity', 'protein threonine phosphatase activity']","['cellular sodium ion homeostasis', 'protein dephosphorylation']",,,"['YPI1', 'SDS22', 'GLC8', 'HAL1']",,['Calcineurin-like phosphoesterase']
PF16892,N-terminal domain of lipoyl synthase of Radical_SAM family,1,['YLR330W'],,,,,,,,,,
PF16893,N-terminal domain of oxidoreductase,1,['YLR330W'],,,,,,,,,,
PF16897,ATPsynthase alpha/beta subunit N-term extension,2,"['YAL036C', 'YGR173W']",,,,,['positive regulation of cellular response to amino acid starvation'],,,,,"['50S ribosome-binding GTPase', 'TGS domain']"
PF16898,Serine-threonine protein phosphatase N-terminal domain,1,['YNL088W'],,,,,,,,,,
PF16899,Chitin biosynthesis protein CHS5 N-terminus,1,['YPR025C'],,,,,,,,,,
PF16900,Fibronectin type III domain,1,['YAR007C'],,,,,,,,,,
PF16901,C-terminal region of MMR_HSR1 domain,1,['YIL155C'],,,,,,,,,,
PF16906,C-terminal associated domain of TOPRIM,2,"['YGR034W', 'YLR344W']",,,,,,,,,,['KOW motif']
PF16908,Cyclin C-terminal domain,1,['YLL040C'],,,,,,,,,,
PF16909,Replication protein A OB domain,1,['YLL040C'],,,,,,,,,,
PF16910,C-terminal domain of alpha-glycerophosphate oxidase,1,['YLL040C'],,,,,,,,,,
PF16922,"Ribosomal proteins L26 eukaryotic, L24P archaeal",1,['YDR489W'],,,,,,,,,,
PF16923,"Vacuolar sorting-associated protein 13, N-terminal",1,['YGL027C'],,,,,,,,,,
PF16944,Vacuolar-sorting-associated 13 protein C-terminal,2,"['YJR054W', 'YML047C']",,,,['potassium ion transmembrane transporter activity'],['potassium ion transmembrane transport'],,,,,
PF16958,Repeating coiled region of VPS13,1,['YDL030W'],,,,,,,,,,
PF16965,DNA replication complex GINS protein SLD5 C-terminus,1,['YBR036C'],,,,,,,,,,
PF16969,Glycosyl hydrolase family 63 N-terminal domain,1,['YPL243W'],,,,,,,,,,
PF16978,Fungal potassium channel,1,['YOL078W'],,,,,,,,,,
PF16979,Pre-mRNA-splicing factor PRP9 N-terminus,1,['YOL078W'],,,,,,,,,,
PF16987,Ceramide synthase regulator,1,['YOL051W'],,,,,,,,,,
PF16988,RNA-binding signal recognition particle 68,1,['YLR417W'],,,,,,,,,,
PF16991,"SAPK-interacting protein 1 (Sin1), middle CRIM domain",1,['YDR227W'],,,,,,,,,,
PF16997,"SAPK-interacting protein 1 (Sin1), Pleckstrin-homology",1,['YDR014W'],,,,,,,,,,
PF17034,KIX domain,1,['YBL104C'],,,,,,,,,,
PF17035,Vacuolar protein sorting 36 NZF-N zinc-finger domain,3,"['YDL070W', 'YLR399C', 'YPL129W']",,,,"['TFIID-class transcription factor binding', 'core promoter sequence-specific DNA binding', 'lysine-acetylated histone binding']",['negative regulation of heterochromatin assembly'],,,['TAF7'],,['Bromodomain']
PF17049,Sir4 SID domain,1,['YMR064W'],,,,,,,,,,
PF17050,Wap1 domain,1,['YBR262C'],,,,,,,,,,
PF17051,Zinc-ribbon like family,1,['YPL189C-A'],,,,,,,,,,
PF17052,Bromodomain extra-terminal - transcription regulation,1,['YOR276W'],,,,,,,,,,
PF17053,ATPase expression protein 1,1,['YLR091W'],,,,,,,,,,
PF17056,Altered inheritance of mitochondria 5,1,['YNL322C'],,,,,,,,,,
PF17058,Cytochrome C oxidase assembly factor 2,2,"['YKL093W', 'YMR081C']",,,,,,,,,,
PF17060,Cap associated factor,1,['YGL075C'],,,,,,,,,,
PF17062,Genetic interactor of prohibitin 5,2,"['YMR147W', 'YMR148W']",,,,,,,,,,
PF17068,Killer toxin-resistance protein 1,1,['YPR116W'],,,,,,,,,,
PF17075,Mitochondrial biogenesis regulation protein 1,1,['YIL127C'],,,,,,,,,,
PF17076,Monopolar spindle protein 2,2,"['YDR351W', 'YHR103W']",,,,,,,,,,
PF17077,Outer spore wall 5,1,['YBL031W'],,,,,,,,,,
PF17078,Required for respiratory growth protein 8 mitochondrial,1,['YBR130C'],,,,,,,,,,
PF17081,Regular of rDNA transcription protein 14,1,['YJL192C'],,,,,,,,,,
PF17082,"SBE2, cell-wall formation",1,['YPL124W'],,,,,,,,,,
PF17083,Mitotic spindle associated protein SHE1,1,['YNR004W'],,,,,,,,,,
PF17084,SWI5-dependent HO expression protein 3,1,['YHR159W'],,,,,,,,,,
PF17096,Suppressor of PMA 1-7 protein,1,['YBR108W'],,,,,,,,,,
PF17097,Spindle Pole Component 29,1,['YDR532C'],,,,,,,,,,
PF17098,Nucleolar protein Swm2,1,['YBR057C'],,,,,,,,,,
